City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Tambopata,PE,-12.73,-69.18,80.29,44,100,1.97,overcast clouds
213,Bay Roberts,CA,47.6,-53.26,44.01,62,58,20.92,broken clouds
214,Lorengau,PG,-2.02,147.27,76.46,90,100,5.01,moderate rain
215,Arraial Do Cabo,BR,-22.97,-42.03,71.67,89,100,20.36,light rain
216,Severo-Kurilsk,RU,50.68,156.12,47.12,76,4,14.83,clear sky
217,Exeter,GB,50.72,-3.53,43.0,96,0,8.9,clear sky
218,Iqaluit,CA,63.75,-68.51,37.4,74,90,10.29,light rain
219,Kidal,ML,18.44,1.41,85.46,14,100,4.09,overcast clouds
220,Belmonte,BR,-15.86,-38.88,78.8,78,75,10.29,broken clouds
221,Ostrovnoy,RU,68.05,39.51,49.39,83,88,15.48,overcast clouds
222,Nanortalik,GL,60.14,-45.24,44.02,75,91,24.27,overcast clouds
223,Ixtapa,MX,20.7,-105.2,81.0,94,86,2.33,overcast clouds
224,Maraba,BR,-5.37,-49.12,80.6,83,99,3.36,moderate rain
225,Marovoay,MG,-16.1,46.63,89.6,49,20,4.7,few clouds
226,Koshurnikovo,RU,54.17,93.3,29.57,98,100,10.69,overcast clouds
227,Sagua La Grande,CU,22.81,-80.08,75.2,94,20,2.24,few clouds
228,Provideniya,RU,64.38,-173.3,39.63,86,100,11.68,overcast clouds
229,Porto Santo,PT,33.07,-16.34,68.0,82,40,11.41,scattered clouds
230,Jacareacanga,BR,-6.22,-57.75,76.93,66,97,0.16,overcast clouds
231,Canutama,BR,-6.53,-64.38,75.27,75,7,0.25,clear sky
232,Hasaki,JP,35.73,140.83,66.2,93,75,10.29,heavy intensity rain
233,Aasiaat,GL,68.71,-52.87,41.31,66,100,22.08,overcast clouds
234,Priiskovyy,RU,51.93,116.63,45.81,58,95,6.15,overcast clouds
235,Half Moon Bay,US,37.46,-122.43,61.0,82,1,3.36,clear sky
236,Rancho Palos Verdes,US,33.74,-118.39,66.99,86,58,1.01,broken clouds
237,Camacha,PT,33.08,-16.33,68.0,82,40,11.41,scattered clouds
238,Asau,RO,46.43,26.4,57.99,90,93,2.62,light rain
239,Mushie,CD,-3.02,16.9,77.85,84,3,4.36,clear sky
